study_hours	student_marks
2.44	24.86
6.99	70.27
1.15	10.11
4.37	43.62
5.08	48.17
7.96	77.3
3.75	36.6
2.84	25.74
6.41	65.91
0.48	3.19
8.79	86.29
1.96	19.65
4.74	45.79
5.94	58.2
3.21	35.18
7.35	74.67
0.89	5.43
6.66	64.77
2.71	30.91
9.04	92.14
4.98	50.47
7.77	79.08
1.68	17.33
5.19	51.42
3.58	34.94
2.24	26.18
8.47	85.72
0.35	1.97
6.26	62.88
1.88	16.13
4.61	45.9
9.11	91.67
2.62	29.13
6.83	66.91
0.78	6.41
7.06	73.59
3.05	33.86
5.91	55.67
1.46	13.12
8.36	85.89
4.33	42.65
2.02	21.08
7.48	76.12
3.49	34.67
5.45	53.91
0.92	5.86
6.17	60.48
2.83	28.34
7.18	70.33
4.46	42.76
1.37	11.2
8.13	82.6
3.31	34.75
5.74	54.69
0.65	3.5
6.97	66.17
2.31	25.86
9.21	93.04
1.11	9.2
4.64	48.5
7.57	74.35
3.43	31.26
3.83	40.09
3.38	40.96
1.98	11.71
7.43	74.57
5.29	48.97
9.84	97.75
0.33	10.08
6.5	66.78
5.48	56.39
7.31	71.4
6.14	58.99
0.4	2.56
2.31	20.72
9.74	89.69
5.79	56.07
9.85	100
2.5	19.11
0.04	7.52
0.49	10.48
7.2	71.78
6.27	71.04
0.47	0.87
2.36	18.21
9.21	87.33
2.93	26.5
9.03	87.13
7.7	75.86
6	55.13
7.12	76.87
8.82	95.02
6.44	70.46
3.02	33.19
9.47	97.97
1.97	28.99
1.86	28.63
4.38	41.76
4.51	42.95
8.37	79.71
8.07	83.29
5.02	52.23
2.05	24.52
6.18	58.87
2.77	21.97
3.87	33.17
4.63	49.81
9.44	95.79
4.39	46.1
6.82	69.58
2.03	21.36
6.95	68.01
2.03	21.36
6.95	68.01
3.46	35.65
8.76	88.85
6.72	66.76
1.34	17.67
6.8	71.55
5.61	52.62
6.11	56.54
3.86	37.94
4.36	41.6
3.25	36.83
0.89	9.28
3.15	35.36
2.87	31.82
2.96	22.62
1.15	13.99
0.56	8.25
6.63	68.17
4.16	40.14
8.48	91.4
3.22	30.45
2.79	24.46
0.99	11.65
1.42	16.48
6.55	67.97
8.42	83.96
0.97	3.31
7.99	81.91
5.69	58.48
6.89	64.84
8.97	92.03
9.63	91.47
7.33	73.48
4.99	53.3
8.58	91.68
7.67	80.79
7.3	73.17
1.43	10.25
3.98	43.17
5.34	54.71
4.91	50.77
0.7	7.01
7.26	73.76
6.93	67.84
7.44	74.61
5.92	56.71
5.31	49.91
1.05	9.52
9.98	100
4.84	51.16
8.15	87.67
3.55	34.97
2.14	23.79
1.73	18.59
9.57	94.98
7.58	73.26
3.29	37.82
0.91	10.27
2.8	30.14
7.95	77.63
5.56	55.07
1.08	9.85
6.4	63.79
4.27	41.2
3.91	35.56
8.88	85.14
2.61	30.42
4.01	39.76
6.16	62.82
7.22	72.86
5.07	51.12
1.96	20.78
9.15	95.34
3.77	33.91
2.39	24.85
